TimerID Timer1 1
TimerID Timer2 2
SubscriberID Subscriber1 4
SubscriberID Subscriber2 5
TimerID Timer3 3
SubscriberID Subscriber3 6
SubscriberID Subscriber4 7
SubscriberID Subscriber5 8
SubscriberID Subscriber6 9
SubscriberID Subscriber7 10
SubscriberID Subscriber8 11
SubscriberID Subscriber9 12
SubscriberID Subscriber10 13
Subscriber 8 44 7324000000
Timer 3 45 7362000000
Timer 1 36 7400000000
Subscriber 12 43 7416000000
Subscriber 4 36 7422000000
Subscriber 10 35 7476000000
Subscriber 11 16 7506000000
Timer 3 46 7522000000
Subscriber 6 36 7524000000
Subscriber 8 45 7524000000
Subscriber 13 16 7526000000
Timer 2 17 7560000000
Subscriber 12 44 7566000000
Subscriber 5 17 7582000000
Timer 1 37 7600000000
Subscriber 4 37 7622000000
Subscriber 7 17 7674000000
Subscriber 8 46 7674000000
Subscriber 9 17 7674000000
Subscriber 10 36 7676000000
Timer 3 47 7682000000
Subscriber 6 37 7724000000
Subscriber 12 45 7766000000
Timer 1 38 7800000000
Subscriber 4 38 7822000000
Subscriber 8 47 7824000000
Timer 3 48 7842000000
Subscriber 10 37 7876000000
Subscriber 11 17 7906000000
Subscriber 12 46 7916000000
Subscriber 6 38 7924000000
Subscriber 13 17 7926000000
Subscriber 8 48 7974000000
Timer 2 18 7980000000
Timer 1 39 8000000000
Subscriber 5 18 8002000000
Timer 3 49 8002000000
Subscriber 4 39 8022000000
Subscriber 12 47 8066000000
Subscriber 7 18 8074000000
Subscriber 9 18 8074000000
Subscriber 10 38 8076000000
Subscriber 6 39 8124000000
Subscriber 8 49 8124000000
Timer 3 50 8162000000
Timer 1 40 8200000000
Subscriber 12 48 8216000000
Subscriber 4 40 8222000000
Subscriber 10 39 8276000000
Subscriber 11 18 8306000000
Timer 3 51 8322000000
Subscriber 6 40 8324000000
Subscriber 8 50 8324000000
Subscriber 13 18 8326000000
Subscriber 12 49 8366000000
Timer 1 41 8400000000
Timer 2 19 8400000000
Subscriber 4 41 8422000000
Subscriber 5 19 8422000000
Subscriber 8 51 8474000000
Subscriber 10 40 8476000000
Timer 3 52 8482000000
Subscriber 6 41 8524000000
Subscriber 7 19 8524000000
Subscriber 9 19 8524000000
Subscriber 12 50 8566000000
Timer 1 42 8600000000
Subscriber 4 42 8622000000
Subscriber 8 52 8624000000
Timer 3 53 8642000000
Subscriber 10 41 8676000000
Subscriber 12 51 8716000000
Subscriber 6 42 8724000000
Subscriber 11 19 8756000000
Subscriber 8 53 8774000000
Subscriber 13 19 8776000000
Timer 1 43 8800000000
Timer 3 54 8802000000
Timer 2 20 8820000000
Subscriber 4 43 8822000000
Subscriber 5 20 8842000000
Subscriber 12 52 8866000000
Subscriber 10 42 8876000000
Subscriber 6 43 8924000000
Subscriber 7 20 8924000000
Subscriber 8 54 8924000000
Subscriber 9 20 8924000000
Timer 3 55 8962000000
Timer 1 44 9000000000
Subscriber 12 53 9016000000
Subscriber 4 44 9022000000
Subscriber 10 43 9076000000
Timer 3 56 9122000000
Subscriber 6 44 9124000000
Subscriber 8 55 9124000000
Subscriber 11 20 9156000000
Subscriber 12 54 9166000000
Subscriber 13 20 9176000000
Timer 1 45 9200000000
Subscriber 4 45 9222000000
Timer 2 21 9240000000
Subscriber 5 21 9262000000
Subscriber 8 56 9274000000
Subscriber 10 44 9276000000
Timer 3 57 9282000000
Subscriber 6 45 9324000000
Subscriber 12 55 9366000000
Subscriber 7 21 9374000000
Subscriber 9 21 9374000000
Timer 1 46 9400000000
Subscriber 4 46 9422000000
Subscriber 8 57 9424000000
Timer 3 58 9442000000
Subscriber 10 45 9476000000
Subscriber 12 56 9516000000
Subscriber 6 46 9524000000
Subscriber 8 58 9574000000
Timer 1 47 9600000000
Timer 3 59 9602000000
Subscriber 11 21 9606000000
